	0	1
0	GO:0004674	obselete
1	GO:0005524	obselete
2	GO:0004674	obselete
3	GO:0004674	obselete
4	GO:0005524	obselete
5	GO:0005524	obselete
6	GO:0005524	obselete
7	GO:0005524	obselete
8	GO:0005524	obselete
9	GO:0005524	obselete
10	GO:0005524	obselete
11	GO:0005524	obselete
12	GO:0005524	obselete
13	GO:0018024	obselete
14	GO:0005524	obselete
15	GO:0005524	obselete
16	GO:0070940	obselete
17	GO:0005524	obselete
18	GO:0000981	obselete
19	GO:0003779	obselete
20	GO:0005524	obselete
21	GO:0016887	obselete
22	GO:0005524	obselete
23	GO:0007229	obselete
24	GO:0042127	obselete
25	GO:0004674	obselete
26	GO:0005524	obselete
27	GO:0005524	obselete
28	GO:0005096	obselete
29	GO:0005524	obselete
30	GO:0008237	obselete
31	GO:0005524	obselete
32	GO:0004888	obselete
33	GO:0005524	obselete
34	GO:0005524	obselete
35	GO:0005509	obselete
36	GO:0003779	obselete
37	GO:0005509	obselete
38	GO:0102756	obselete
39	GO:0005524	obselete
40	GO:0006813	obselete
41	GO:0005524	obselete
42	GO:0055072	obselete
43	GO:0016567	obselete
44	GO:0020037	obselete
45	GO:0008270	obselete
46	GO:0005509	obselete
47	GO:0005743	obselete
48	GO:0005743	obselete
49	GO:0005524	obselete
50	GO:0005524	obselete
51	GO:0004674	obselete
52	GO:0005524	obselete
53	GO:0005524	obselete
54	GO:0006338	obselete
55	GO:0016514	obselete
56	GO:0004674	obselete
57	GO:0004674	obselete
58	GO:0005524	obselete
59	GO:0005524	obselete
60	GO:0000165	obselete
61	GO:0005789	obselete
62	GO:0005524	obselete
63	GO:0008281	obselete
64	GO:0006813	obselete
65	GO:0008270	obselete
66	GO:0055072	obselete
67	GO:0008270	obselete
68	GO:0004713	obselete
69	GO:0005524	obselete
70	GO:0005524	obselete
71	GO:0035091	obselete
72	GO:0005096	obselete
73	GO:0005770	obselete
74	GO:0046983	obselete
75	GO:0020037	obselete
76	GO:0031683	obselete
77	GO:0007422	obselete
78	GO:0000981	obselete
79	GO:0042127	obselete
80	GO:0005524	obselete
81	GO:0043130	obselete
82	GO:0005509	obselete
83	GO:0005524	obselete
84	GO:0008017	obselete
85	GO:0016887	obselete
86	GO:0005216	obselete
87	GO:0008270	obselete
88	GO:0003755	obselete
89	GO:0031514	obselete
90	GO:0005524	obselete
91	GO:0006096	obselete
92	GO:0004713	obselete
93	GO:0005524	obselete
94	GO:0005524	obselete
95	GO:0004842	obselete
96	GO:0005216	obselete
97	GO:0006813	obselete
98	GO:0008270	obselete
99	GO:0005524	obselete
100	GO:0005509	obselete
101	GO:0004713	obselete
102	GO:0005524	obselete
103	GO:0005524	obselete
104	GO:0043565	obselete
105	GO:0055072	obselete
106	GO:0010991	obselete
107	GO:0046983	obselete
108	GO:0030425	obselete
109	GO:0005524	obselete
110	GO:0008017	obselete
111	GO:0005509	obselete
112	GO:0030131	obselete
113	GO:0005216	obselete
114	GO:0006813	obselete
115	GO:0008270	obselete
116	GO:0004222	obselete
117	GO:0008237	obselete
118	GO:0003779	obselete
119	GO:0005509	obselete
120	GO:0008373	obselete
121	GO:0008270	obselete
122	GO:0055072	obselete
123	GO:0005524	obselete
124	GO:0005524	obselete
125	GO:0019888	obselete
126	GO:0000159	obselete
127	GO:0016567	obselete
128	GO:0005509	obselete
129	GO:0046486	obselete
130	GO:0008017	obselete
131	GO:0004713	obselete
132	GO:0004713	obselete
133	GO:0004715	obselete
134	GO:0005524	obselete
135	GO:0004222	obselete
136	GO:0008237	obselete
137	GO:0008270	obselete
138	GO:0008017	obselete
139	GO:0046983	obselete
140	GO:0005509	obselete
141	GO:0005524	obselete
142	GO:0005096	obselete
143	GO:0004143	obselete
144	GO:0046486	obselete
145	GO:0008270	obselete
146	GO:0071704	obselete
147	GO:0005524	obselete
148	GO:0016887	obselete
149	GO:0006465	obselete
150	GO:0005743	obselete
151	GO:0004843	obselete
152	GO:0043130	obselete
153	GO:0004674	obselete
154	GO:0005524	obselete
155	GO:0005524	obselete
156	GO:0000287	obselete
157	GO:0004674	obselete
158	GO:0005524	obselete
159	GO:0102756	obselete
160	GO:0005789	obselete
161	GO:0008270	obselete
162	GO:0004842	obselete
163	GO:0008270	obselete
164	GO:0043130	obselete
165	GO:0016042	obselete
166	GO:0003779	obselete
167	GO:0005524	obselete
168	GO:0016459	obselete
169	GO:0005509	obselete
170	GO:0007156	obselete
171	GO:0005524	obselete
172	GO:0005524	obselete
173	GO:0008270	obselete
174	GO:0046835	obselete
175	GO:0030001	obselete
176	GO:0005524	obselete
177	GO:0005524	obselete
178	GO:0071805	obselete
179	GO:0042552	obselete
180	GO:0001736	obselete
181	GO:0016818	obselete
182	GO:0010608	obselete
183	GO:0004857	obselete
184	GO:0004674	obselete
185	GO:0045786	obselete
186	GO:0030659	obselete
187	GO:0004867	obselete
188	GO:0004674	obselete
189	GO:0000165	obselete
190	GO:0006646	obselete
