	User_GO:IDS	User_Go_Defs	Slim_GO:IDS	Slim_Go_Defs
0	GO:0000049	tRNA binding	GO:0003723	RNA binding
1	GO:0000049	tRNA binding	GO:0016746	acyltransferase activity
2	GO:0000077	DNA damage checkpoint signaling	GO:0000075	cell cycle checkpoint signaling
3	GO:0000077	DNA damage checkpoint signaling	GO:0046483	heterocycle metabolic process
4	GO:0000077	DNA damage checkpoint signaling	GO:0048583	regulation of response to stimulus
5	GO:0000077	DNA damage checkpoint signaling	GO:0050794	regulation of cellular process
6	GO:0000124	SAGA complex	GO:0070461	SAGA-type complex
7	GO:0000124	SAGA complex	GO:1902494	catalytic complex
8	GO:0000159	protein phosphatase type 2A complex	GO:0008287	protein serine/threonine phosphatase complex
9	GO:0000165	MAPK cascade	GO:0035556	intracellular signal transduction
10	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0005515	protein binding
11	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0006082	organic acid metabolic process
12	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0006401	RNA catabolic process
13	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0006520	amino acid metabolic process
14	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0006793	phosphorus metabolic process
15	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0009058	biosynthetic process
16	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0019222	regulation of metabolic process
17	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0044237	cellular metabolic process
18	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0048519	negative regulation of biological process
19	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0048523	negative regulation of cellular process
20	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0050794	regulation of cellular process
21	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0051726	regulation of cell cycle
22	GO:0000244	spliceosomal tri-snRNP complex assembly	GO:0022857	transmembrane transporter activity
23	GO:0000244	spliceosomal tri-snRNP complex assembly	GO:0140657	ATP-dependent activity
24	GO:0000287	magnesium ion binding	GO:0046872	metal ion binding
25	GO:0000398	mRNA splicing, via spliceosome	GO:0000375	RNA splicing, via transesterification reactions
26	GO:0000398	mRNA splicing, via spliceosome	GO:0009058	biosynthetic process
27	GO:0000398	mRNA splicing, via spliceosome	GO:0016050	vesicle organization
28	GO:0000398	mRNA splicing, via spliceosome	GO:1901135	carbohydrate derivative metabolic process
29	GO:0000428	DNA-directed RNA polymerase complex	GO:0030880	RNA polymerase complex
30	GO:0000775	chromosome, centromeric region	GO:0016746	acyltransferase activity
31	GO:0000775	chromosome, centromeric region	GO:0019222	regulation of metabolic process
32	GO:0000775	chromosome, centromeric region	GO:0031323	regulation of cellular metabolic process
33	GO:0000812	Swr1 complex	GO:0098796	membrane protein complex
34	GO:0000813	ESCRT I complex	GO:0032991	protein-containing complex
35	GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity	GO:0016301	kinase activity
36	GO:0000828	inositol hexakisphosphate kinase activity	GO:0016301	kinase activity
37	GO:0000829	inositol heptakisphosphate kinase activity	GO:0016301	kinase activity
38	GO:0000922	spindle pole	GO:0110165	cellular anatomical entity
39	GO:0000932	P-body	GO:0006725	cellular aromatic compound metabolic process
40	GO:0000932	P-body	GO:0006793	phosphorus metabolic process
41	GO:0000932	P-body	GO:0009056	catabolic process
42	GO:0000932	P-body	GO:0009058	biosynthetic process
43	GO:0000932	P-body	GO:0030234	enzyme regulator activity
44	GO:0000976	transcription cis-regulatory region binding	GO:0003676	nucleic acid binding
45	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0003700	DNA-binding transcription factor activity
46	GO:0001503	ossification	GO:0006811	monoatomic ion transport
47	GO:0001510	RNA methylation	GO:0009451	RNA modification
48	GO:0001518	voltage-gated sodium channel complex	GO:0043232	intracellular non-membrane-bounded organelle
49	GO:0001518	voltage-gated sodium channel complex	GO:0098796	membrane protein complex
50	GO:0001518	voltage-gated sodium channel complex	GO:0110165	cellular anatomical entity
51	GO:0001664	G protein-coupled receptor binding	GO:0005102	signaling receptor binding
52	GO:0001664	G protein-coupled receptor binding	GO:0016020	membrane
53	GO:0001676	long-chain fatty acid metabolic process	GO:0022857	transmembrane transporter activity
54	GO:0001676	long-chain fatty acid metabolic process	GO:0044255	cellular lipid metabolic process
55	GO:0001678	intracellular glucose homeostasis	GO:0019899	enzyme binding
56	GO:0001955	blood vessel maturation	GO:0004518	nuclease activity
